ts_ns,period_ns,jitter_ns,late
1300400,1300400,-699600,0
3856200,2555800,555800,0
5937800,2081600,81600,0
8118000,2180200,180200,0
10252200,2134200,134200,0
12152900,1900700,-99300,0
13664900,1512000,-488000,0
15697600,2032700,32700,0
17670800,1973200,-26800,0
19687000,2016200,16200,0
21867100,2180100,180100,0
23302600,1435500,-564500,0
26322500,3019900,1019900,0
28326800,2004300,4300,0
30310700,1983900,-16100,0
32355400,2044700,44700,0
34656600,2301200,301200,0
35372800,716200,-1283800,0
37685200,2312400,312400,0
39745900,2060700,60700,0
41647300,1901400,-98600,0
43639100,1991800,-8200,0
45165300,1526200,-473800,0
47355700,2190400,190400,0
50555500,3199800,1199800,0
52557600,2002100,2100,0
54067400,1509800,-490200,0
56171900,2104500,104500,0
58292100,2120200,120200,0
60344200,2052100,52100,0
62352300,2008100,8100,0
63848100,1495800,-504200,0
65832800,1984700,-15300,0
67938600,2105800,105800,0
69858800,1920200,-79800,0
72037500,2178700,178700,0
73521700,1484200,-515800,0
76487000,2965300,965300,0
78492700,2005700,5700,0
80478400,1985700,-14300,0
82498000,2019600,19600,0
83979100,1481100,-518900,0
86050500,2071400,71400,0
88074300,2023800,23800,0
90007600,1933300,-66700,0
92072400,2064800,64800,0
93502000,1429600,-570400,0
96569600,3067600,1067600,0
98619700,2050100,50100,0
99359400,739700,-1260300,0
102171200,2811800,811800,0
103610300,1439100,-560900,0
105698500,2088200,88200,0
107246500,1548000,-452000,0
110247300,3000800,1000800,0
112215700,1968400,-31600,0
113701700,1486000,-514000,0
115851200,2149500,149500,0
117752900,1901700,-98300,0
119029700,1276800,-723200,0
122078600,3048900,1048900,0
123537800,1459200,-540800,0
126586000,3048200,1048200,0
128592200,2006200,6200,0
129325700,733500,-1266500,0
131584700,2259000,259000,0
134051800,2467100,467100,0
136129800,2078000,78000,0
137306500,1176700,-823300,0
139841100,2534600,534600,0
141922200,2081100,81100,0
143298900,1376700,-623300,0
146314100,3015200,1015200,0
147502000,1187900,-812100,0
150548100,3046100,1046100,0
152645900,2097800,97800,0
153486000,840100,-1159900,0
155934000,2448000,448000,0
157890900,1956900,-43100,0
159909200,2018300,18300,0
162225200,2316000,316000,0
163717400,1492200,-507800,0
166046100,2328700,328700,0
168100100,2054000,54000,0
170062200,1962100,-37900,0
172130700,2068500,68500,0
173560800,1430100,-569900,0
176784500,3223700,1223700,0
177203000,418500,-1581500,0
179584600,2381600,381600,0
182630400,3045800,1045800,0
183216200,585800,-1414200,0
186482600,3266400,1266400,0
188538200,2055600,55600,0
190541400,2003200,3200,0
192519900,1978500,-21500,0
194027700,1507800,-492200,0
196043300,2015600,15600,0
197452200,1408900,-591100,0
200063000,2610800,610800,0
201550700,1487700,-512300,0
204121400,2570700,570700,0
206167200,2045800,45800,0
208172600,2005400,5400,0
210169000,1996400,-3600,0
211370100,1201100,-798900,0
213941200,2571100,571100,0
215919500,1978300,-21700,0
217966400,2046900,46900,0
219945500,1979100,-20900,0
222026400,2080900,80900,0
223507800,1481400,-518600,0
226606900,3099100,1099100,0
227446800,839900,-1160100,0
229719900,2273100,273100,0
231729600,2009700,9700,0
233413600,1684000,-316000,0
236684400,3270800,1270800,0
237677100,992700,-1007300,0
239619100,1942000,-58000,0
241715700,2096600,96600,0
243446900,1731200,-268800,0
245918900,2472000,472000,0
247373500,1454600,-545400,0
250388100,3014600,1014600,0
252448100,2060000,60000,0
254854300,2406200,406200,0
255282900,428600,-1571400,0
257932900,2650000,650000,0
259939500,2006600,6600,0
261898600,1959100,-40900,0
263420700,1522100,-477900,0
266389900,2969200,969200,0
268380900,1991000,-9000,0
270440100,2059200,59200,0
272446200,2006100,6100,0
273968000,1521800,-478200,0
275898600,1930600,-69400,0
277896800,1998200,-1800,0
279943700,2046900,46900,0
282151100,2207400,207400,0
283662900,1511800,-488200,0
285860300,2197400,197400,0
287901600,2041300,41300,0
289766500,1864900,-135100,0
291739100,1972600,-27400,0
293734400,1995300,-4700,0
295437900,1703500,-296500,0
298478000,3040100,1040100,0
300020300,1542300,-457700,0
301147800,1127500,-872500,0
303753700,2605900,605900,0
305726200,1972500,-27500,0
307733000,2006800,6800,0
309714000,1981000,-19000,0
311759200,2045200,45200,0
313726500,1967300,-32700,0
315299900,1573400,-426600,0
318334900,3035000,1035000,0
320308300,1973400,-26600,0
322291600,1983300,-16700,0
324442900,2151300,151300,0
326446000,2003100,3100,0
328534500,2088500,88500,0
330604400,2069900,69900,0
331328600,724200,-1275800,0
333620200,2291600,291600,0
335163900,1543700,-456300,0
338229400,3065500,1065500,0
340177400,1948000,-52000,0
341522000,1344600,-655400,0
344108400,2586400,586400,0
346454400,2346000,346000,0
348552300,2097900,97900,0
350518900,1966600,-33400,0
352537400,2018500,18500,0
354022600,1485200,-514800,0
356010600,1988000,-12000,0
358030200,2019600,19600,0
360041900,2011700,11700,0
362025200,1983300,-16700,0
363540700,1515500,-484500,0
365847100,2306400,306400,0
367916700,2069600,69600,0
369917800,2001100,1100,0
371913000,1995200,-4800,0
373414000,1501000,-499000,0
376782200,3368200,1368200,0
377309300,527100,-1472900,0
380090900,2781600,781600,0
382013200,1922300,-77700,0
383526300,1513100,-486900,0
386665900,3139600,1139600,0
387379200,713300,-1286700,0
389610100,2230900,230900,0
391651400,2041300,41300,0
393691100,2039700,39700,0
395203800,1512700,-487300,0
398274100,3070300,1070300,0
400190500,1916400,-83600,0
401709500,1519000,-481000,0
403735300,2025800,25800,0
405207800,1472500,-527500,0
408267800,3060000,1060000,0
410253900,1986100,-13900,0
412366300,2112400,112400,0
414443000,2076700,76700,0
415606100,1163100,-836900,0
418081700,2475600,475600,0
420310200,2228500,228500,0
422297300,1987100,-12900,0
424361800,2064500,64500,0
426643900,2282100,282100,0
427673600,1029700,-970300,0
429699300,2025700,25700,0
431733800,2034500,34500,0
433905900,2172100,172100,0
435851700,1945800,-54200,0
437863200,2011500,11500,0
439845300,1982100,-17900,0
441856300,2011000,11000,0
443459200,1602900,-397100,0
446434400,2975200,975200,0
448425700,1991300,-8700,0
450434400,2008700,8700,0
452437900,2003500,3500,0
453929500,1491600,-508400,0
456057300,2127800,127800,0
457267700,1210400,-789600,0
460281700,3014000,1014000,0
462264400,1982700,-17300,0
463848900,1584500,-415500,0
466151900,2303000,303000,0
468246200,2094300,94300,0
470262300,2016100,16100,0
472196700,1934400,-65600,0
473846500,1649800,-350200,0
475844100,1997600,-2400,0
477846700,2002600,2600,0
479872500,2025800,25800,0
482156600,2284100,284100,0
483765100,1608500,-391500,0
486012400,2247300,247300,0
488121600,2109200,109200,0
490081800,1960200,-39800,0
492179700,2097900,97900,0
493628800,1449100,-550900,0
495649700,2020900,20900,0
497630800,1981100,-18900,0
499108000,1477200,-522800,0
502203500,3095500,1095500,0
503678100,1474600,-525400,0
505631000,1952900,-47100,0
507648300,2017300,17300,0
509663100,2014800,14800,0
511692100,2029000,29000,0
513730000,2037900,37900,0
515241900,1511900,-488100,0
518380200,3138300,1138300,0
520350000,1969800,-30200,0
522466200,2116200,116200,0
523994200,1528000,-472000,0
526002600,2008400,8400,0
528034100,2031500,31500,0
530428900,2394800,394800,0
532378600,1949700,-50300,0
533865100,1486500,-513500,0
535860900,1995800,-4200,0
537850500,1989600,-10400,0
539855100,2004600,4600,0
541903700,2048600,48600,0
543341300,1437600,-562400,0
546473200,3131900,1131900,0
548751900,2278700,278700,0
549473200,721300,-1278700,0
551719400,2246200,246200,0
553753900,2034500,34500,0
555210800,1456900,-543100,0
558317000,3106200,1106200,0
560277800,1960800,-39200,0
562258700,1980900,-19100,0
563882200,1623500,-376500,0
566028000,2145800,145800,0
568005300,1977300,-22700,0
569986400,1981100,-18900,0
572002200,2015800,15800,0
573530800,1528600,-471400,0
576485600,2954800,954800,0
578507400,2021800,21800,0
580535000,2027600,27600,0
582503300,1968300,-31700,0
583999200,1495900,-504100,0
586001400,2002200,2200,0
588078300,2076900,76900,0
590042100,1963800,-36200,0
592026800,1984700,-15300,0
593497300,1470500,-529500,0
596527000,3029700,1029700,0
598576400,2049400,49400,0
600026500,1450100,-549900,0
602096000,2069500,69500,0
603608300,1512300,-487700,0
605619100,2010800,10800,0
607613400,1994300,-5700,0
609614100,2000700,700,0
611680500,2066400,66400,0
613610200,1929700,-70300,0
615200300,1590100,-409900,0
618166800,2966500,966500,0
620113700,1946900,-53100,0
622113400,1999700,-300,0
623681800,1568400,-431600,0
624892600,1210800,-789200,0
628075800,3183200,1183200,0
630329200,2253400,253400,0
631518300,1189100,-810900,0
634028200,2509900,509900,0
636071000,2042800,42800,0
638020900,1949900,-50100,0
640014000,1993100,-6900,0
642082500,2068500,68500,0
643502900,1420400,-579600,0
645650600,2147700,147700,0
647610600,1960000,-40000,0
649628900,2018300,18300,0
651656800,2027900,27900,0
653634400,1977600,-22400,0
655147600,1513200,-486800,0
658135500,2987900,987900,0
660165900,2030400,30400,0
662206800,2040900,40900,0
663636000,1429200,-570800,0
665761700,2125700,125700,0
667844300,2082600,82600,0
669860100,2015800,15800,0
671864900,2004800,4800,0
673395400,1530500,-469500,0
676345700,2950300,950300,0
678383000,2037300,37300,0
680392700,2009700,9700,0
682372000,1979300,-20700,0
683862700,1490700,-509300,0
685989900,2127200,127200,0
687854800,1864900,-135100,0
689854200,1999400,-600,0
692046000,2191800,191800,0
693341700,1295700,-704300,0
696362700,3021000,1021000,0
698416900,2054200,54200,0
699924400,1507500,-492500,0
701952000,2027600,27600,0
703371900,1419900,-580100,0
706891100,3519200,1519200,0
707718500,827400,-1172600,0
709855000,2136500,136500,0
712169600,2314600,314600,0
713634300,1464700,-535300,0
715935100,2300800,300800,0
718041400,2106300,106300,0
720119100,2077700,77700,0
722053600,1934500,-65500,0
723503000,1449400,-550600,0
726612700,3109700,1109700,0
727354100,741400,-1258600,0
729767500,2413400,413400,0
731850000,2082500,82500,0
733342700,1492700,-507300,0
736475800,3133100,1133100,0
738532300,2056500,56500,0
740487600,1955300,-44700,0
742483600,1996000,-4000,0
743988800,1505200,-494800,0
746034500,2045700,45700,0
748039400,2004900,4900,0
749224700,1185300,-814700,0
752354100,3129400,1129400,0
753850700,1496600,-503400,0
755903300,2052600,52600,0
757844100,1940800,-59200,0
760021300,2177200,177200,0
761457300,1436000,-564000,0
763994200,2536900,536900,0
766147000,2152800,152800,0
767442800,1295800,-704200,0
770461500,3018700,1018700,0
772450500,1989000,-11000,0
773917100,1466600,-533400,0
775927500,2010400,10400,0
777926600,1999100,-900,0
779925400,1998800,-1200,0
782011200,2085800,85800,0
783419800,1408600,-591400,0
786478200,3058400,1058400,0
788453700,1975500,-24500,0
790455000,2001300,1300,0
792450400,1995400,-4600,0
793917800,1467400,-532600,0
795970800,2053000,53000,0
797955400,1984600,-15400,0
799944200,1988800,-11200,0
801469100,1524900,-475100,0
803972800,2503700,503700,0
805950800,1978000,-22000,0
807984200,2033400,33400,0
809938200,1954000,-46000,0
811952700,2014500,14500,0
813565800,1613100,-386900,0
816932700,3366900,1366900,0
817672600,739900,-1260100,0
818920600,1248000,-752000,0
821952900,3032300,1032300,0
823422000,1469100,-530900,0
826445900,3023900,1023900,0
828435000,1989100,-10900,0
830583100,2148100,148100,0
832648400,2065300,65300,0
833403600,755200,-1244800,0
836177400,2773800,773800,0
838386300,2208900,208900,0
840557000,2170700,170700,0
842860500,2303500,303500,0
843614300,753800,-1246200,0
845461700,1847400,-152600,0
848374500,2912800,912800,0
850596400,2221900,221900,0
851302400,706000,-1294000,0
854509300,3206900,1206900,0
856711100,2201800,201800,0
857402500,691400,-1308600,0
859862800,2460300,460300,0
861861400,1998600,-1400,0
863859600,1998200,-1800,0
865322600,1463000,-537000,0
868332700,3010100,1010100,0
870362200,2029500,29500,0
872450700,2088500,88500,0
874924800,2474100,474100,0
875771300,846500,-1153500,0
877914900,2143600,143600,0
879916700,2001800,1800,0
881972800,2056100,56100,0
883482800,1510000,-490000,0
886401300,2918500,918500,0
888435200,2033900,33900,0
890428400,1993200,-6800,0
892479700,2051300,51300,0
893911500,1431800,-568200,0
895920200,2008700,8700,0
898075300,2155100,155100,0
899939800,1864500,-135500,0
901478400,1538600,-461400,0
903664800,2186400,186400,0
905655300,1990500,-9500,0
907880700,2225400,225400,0
909616900,1736200,-263800,0
911616900,2000000,0,0
913681200,2064300,64300,0
915127100,1445900,-554100,0
918126100,2999000,999000,0
920115200,1989100,-10900,0
922202500,2087300,87300,0
923721900,1519400,-480600,0
925653400,1931500,-68500,0
927729000,2075600,75600,0
929748500,2019500,19500,0
931882600,2134100,134100,0
933745800,1863200,-136800,0
935293200,1547400,-452600,0
938289700,2996500,996500,0
940287900,1998200,-1800,0
942301900,2014000,14000,0
943763100,1461200,-538800,0
945869700,2106600,106600,0
947865200,1995500,-4500,0
949851800,1986600,-13400,0
951866700,2014900,14900,0
953294900,1428200,-571800,0
955622300,2327400,327400,0
957694100,2071800,71800,0
959971500,2277400,277400,0
962173700,2202200,202200,0
963623900,1450200,-549800,0
965941800,2317900,317900,0
968001700,2059900,59900,0
969984400,1982700,-17300,0
971956200,1971800,-28200,0
973449700,1493500,-506500,0
975948500,2498800,498800,0
978029900,2081400,81400,0
980017300,1987400,-12600,0
981987100,1969800,-30200,0
983518600,1531500,-468500,0
985779300,2260700,260700,0
987899100,2119800,119800,0
989889700,1990600,-9400,0
991936200,2046500,46500,0
993418100,1481900,-518100,0
995767800,2349700,349700,0
997850700,2082900,82900,0
999970800,2120100,120100,0
1002298500,2327700,327700,0
1004918200,2619700,619700,0
1005623400,705200,-1294800,0
1007207800,1584400,-415600,0
1010229100,3021300,1021300,0
1012225100,1996000,-4000,0
1013708900,1483800,-516200,0
1015735000,2026100,26100,0
1016917100,1182100,-817900,0
1019055900,2138800,138800,0
1022167500,3111600,1111600,0
1023597600,1430100,-569900,0
1024861800,1264200,-735800,0
1027088500,2226700,226700,0
1030098300,3009800,1009800,0
1032660300,2562000,562000,0
1033337200,676900,-1323100,0
1035598000,2260800,260800,0
1037635400,2037400,37400,0
1039923100,2287700,287700,0
1042326700,2403600,403600,0
1044614900,2288200,288200,0
1045344700,729800,-1270200,0
1047759500,2414800,414800,0
1049746700,1987200,-12800,0
1051703100,1956400,-43600,0
1053735900,2032800,32800,0
1055187900,1452000,-548000,0
1058215200,3027300,1027300,0
1060206200,1991000,-9000,0
1062266900,2060700,60700,0
1063884300,1617400,-382600,0
1065742500,1858200,-141800,0
1067767000,2024500,24500,0
1069873200,2106200,106200,0
1071863400,1990200,-9800,0
1073863800,2000400,400,0
1075261300,1397500,-602500,0
1078330600,3069300,1069300,0
1080273100,1942500,-57500,0
1082403700,2130600,130600,0
1083862400,1458700,-541300,0
1086108400,2246000,246000,0
1087261800,1153400,-846600,0
1090289100,3027300,1027300,0
1092309100,2020000,20000,0
1093874000,1564900,-435100,0
1095902900,2028900,28900,0
1097860200,1957300,-42700,0
1099858000,1997800,-2200,0
1101316300,1458300,-541700,0
1103869700,2553400,553400,0
1105870600,2000900,900,0
1107868200,1997600,-2400,0
1109865400,1997200,-2800,0
1112274000,2408600,408600,0
1113879600,1605600,-394400,0
1115061100,1181500,-818500,0
1117369600,2308500,308500,0
1120373500,3003900,1003900,0
1122350400,1976900,-23100,0
1123873300,1522900,-477100,0
1125987600,2114300,114300,0
1127950000,1962400,-37600,0
1129893400,1943400,-56600,0
1131859300,1965900,-34100,0
1133409000,1549700,-450300,0
1136391300,2982300,982300,0
1138409200,2017900,17900,0
1140507500,2098300,98300,0
1142376300,1868800,-131200,0
1143909100,1532800,-467200,0
1145928500,2019400,19400,0
1147950300,2021800,21800,0
1149928100,1977800,-22200,0
1151916900,1988800,-11200,0
1153426300,1509400,-490600,0
1155585700,2159400,159400,0
1158590600,3004900,1004900,0
1160598300,2007700,7700,0
1161294900,696600,-1303400,0
1163595200,2300300,300300,0
1165119600,1524400,-475600,0
1168146700,3027100,1027100,0
1170081500,1934800,-65200,0
1172114100,2032600,32600,0
1173599300,1485200,-514800,0
1175622500,2023200,23200,0
1177609800,1987300,-12700,0
1180103900,2494100,494100,0
1182079300,1975400,-24600,0
1183574000,1494700,-505300,0
1186615200,3041200,1041200,0
1187299500,684300,-1315700,0
1189575600,2276100,276100,0
1192601300,3025700,1025700,0
1193312100,710800,-1289200,0
1196107200,2795100,795100,0
1198124300,2017100,17100,0
1200109800,1985500,-14500,0
1201608000,1498200,-501800,0
1203668300,2060300,60300,0
1204933300,1265000,-735000,0
1208099900,3166600,1166600,0
1210113200,2013300,13300,0
1212094000,1980800,-19200,0
1213578900,1484900,-515100,0
1215872800,2293900,293900,0
1217884600,2011800,11800,0
1219868600,1984000,-16000,0
1221874100,2005500,5500,0
1223320500,1446400,-553600,0
1225639200,2318700,318700,0
1227762300,2123100,123100,0
1229735200,1972900,-27100,0
1231770800,2035600,35600,0
1233738000,1967200,-32800,0
1235721100,1983100,-16900,0
1237734600,2013500,13500,0
1240213800,2479200,479200,0
1242284800,2071000,71000,0
1243753100,1468300,-531700,0
1245782500,2029400,29400,0
1247742600,1960100,-39900,0
1249889900,2147300,147300,0
1251799500,1909600,-90400,0
1253762700,1963200,-36800,0
1255354900,1592200,-407800,0
1258265800,2910900,910900,0
1260297500,2031700,31700,0
1262266500,1969000,-31000,0
1263862100,1595600,-404400,0
1265929600,2067500,67500,0
1268047300,2117700,117700,0
1270013000,1965700,-34300,0
1272077400,2064400,64400,0
1273523100,1445700,-554300,0
1276579700,3056600,1056600,0
1278561100,1981400,-18600,0
1280707000,2145900,145900,0
1281735000,1028000,-972000,0
1283738000,2003000,3000,0
1285235900,1497900,-502100,0
1288292600,3056700,1056700,0
1290245400,1952800,-47200,0
1292269300,2023900,23900,0
1293738900,1469600,-530400,0
1295735400,1996500,-3500,0
1297789800,2054400,54400,0
1300290500,2500700,500700,0
1302304200,2013700,13700,0
1303752100,1447900,-552100,0
1305778800,2026700,26700,0
1307874400,2095600,95600,0
1309895600,2021200,21200,0
1311770300,1874700,-125300,0
1313790900,2020600,20600,0
1315287600,1496700,-503300,0
1318316100,3028500,1028500,0
1319487500,1171400,-828600,0
1322605700,3118200,1118200,0
1323306200,700500,-1299500,0
1326105400,2799200,799200,0
1328099200,1993800,-6200,0
1330114200,2015000,15000,0
1332106900,1992700,-7300,0
1333638900,1532000,-468000,0
1335078800,1439900,-560100,0
1338116700,3037900,1037900,0
1340102400,1985700,-14300,0
1341465600,1363200,-636800,0
1343605900,2140300,140300,0
1345616200,2010300,10300,0
1347611200,1995000,-5000,0
1349593500,1982300,-17700,0
1351587800,1994300,-5700,0
1354125200,2537400,537400,0
1356500800,2375600,375600,0
1358766600,2265800,265800,0
1359131500,364900,-1635100,0
1361587600,2456100,456100,0
1364049800,2462200,462200,0
1366094800,2045000,45000,0
1368035500,1940700,-59300,0
1370064400,2028900,28900,0
1371244200,1179800,-820200,0
1373605400,2361200,361200,0
1375195400,1590000,-410000,0
1377875000,2679600,679600,0
1379944300,2069300,69300,0
1382026400,2082100,82100,0
1383442400,1416000,-584000,0
1386450000,3007600,1007600,0
1388518600,2068600,68600,0
1390441100,1922500,-77500,0
1392442200,2001100,1100,0
1393970900,1528700,-471300,0
1395988000,2017100,17100,0
1398022800,2034800,34800,0
1400484300,2461500,461500,0
1402477800,1993500,-6500,0
1403966400,1488600,-511400,0
1406048800,2082400,82400,0
1408460900,2412100,412100,0
1410474300,2013400,13400,0
1412466500,1992200,-7800,0
1413946400,1479900,-520100,0
1416023500,2077100,77100,0
1417242700,1219200,-780800,0
1420319500,3076800,1076800,0
1422332000,2012500,12500,0
1423862400,1530400,-469600,0
1425878900,2016500,16500,0
1427876000,1997100,-2900,0
1429875900,1999900,-100,0
1431918300,2042400,42400,0
1433354900,1436600,-563400,0
1436349200,2994300,994300,0
1438412300,2063100,63100,0
1440441900,2029600,29600,0
1442460500,2018600,18600,0
1444560200,2099700,99700,0
1446700000,2139800,139800,0
1447420400,720400,-1279600,0
1449737700,2317300,317300,0
1451698000,1960300,-39700,0
1453721500,2023500,23500,0
1455165200,1443700,-556300,0
1458206600,3041400,1041400,0
1460187100,1980500,-19500,0
1462204300,2017200,17200,0
1463807500,1603200,-396800,0
1465695900,1888400,-111600,0
1467742300,2046400,46400,0
1469733400,1991100,-8900,0
1471719500,1986100,-13900,0
1473722200,2002700,2700,0
1475241400,1519200,-480800,0
1478239000,2997600,997600,0
1480259000,2020000,20000,0
1482222700,1963700,-36300,0
1483701800,1479100,-520900,0
1485755300,2053500,53500,0
1487297800,1542500,-457500,0
1490406100,3108300,1108300,0
1492349100,1943000,-57000,0
1493940200,1591100,-408900,0
1495863800,1923600,-76400,0
1497979500,2115700,115700,0
1500417800,2438300,438300,0
1502458900,2041100,41100,0
1504047500,1588600,-411400,0
1505996500,1949000,-51000,0
1507971400,1974900,-25100,0
1510131300,2159900,159900,0
1511356900,1225600,-774400,0
1514528900,3172000,1172000,0
1516621100,2092200,92200,0
1517372000,750900,-1249100,0
1519633100,2261100,261100,0
1521645700,2012600,12600,0
1523646400,2000700,700,0
1525197500,1551100,-448900,0
1527520600,2323100,323100,0
1529716500,2195900,195900,0
1532086300,2369800,369800,0
1533678100,1591800,-408200,0
1535768000,2089900,89900,0
1537677300,1909300,-90700,0
1539684800,2007500,7500,0
1541691400,2006600,6600,0
1543753900,2062500,62500,0
1545212700,1458800,-541200,0
1548192100,2979400,979400,0
1550228700,2036600,36600,0
1552270700,2042000,42000,0
1553702400,1431700,-568300,0
1555752100,2049700,49700,0
1557754800,2002700,2700,0
1559780400,2025600,25600,0
1561878700,2098300,98300,0
1563314600,1435900,-564100,0
1566338300,3023700,1023700,0
1568355400,2017100,17100,0
1570351600,1996200,-3800,0
1572492200,2140600,140600,0
1573865400,1373200,-626800,0
1575894600,2029200,29200,0
1577895400,2000800,800,0
1579875000,1979600,-20400,0
1582104200,2229200,229200,0
1583620500,1516300,-483700,0
1585619600,1999100,-900,0
1587614400,1994800,-5200,0
1589581000,1966600,-33400,0
1592628200,3047200,1047200,0
1593327500,699300,-1300700,0
1596093900,2766400,766400,0
1598120000,2026100,26100,0
1600649500,2529500,529500,0
1601378300,728800,-1271200,0
1603712300,2334000,334000,0
1605121700,1409400,-590600,0
1608141700,3020000,1020000,0
1610123600,1981900,-18100,0
1612163100,2039500,39500,0
1613618100,1455000,-545000,0
1615875600,2257500,257500,0
1618102400,2226800,226800,0
1620408000,2305600,305600,0
1621948500,1540500,-459500,0
1623455900,1507400,-492600,0
1626426600,2970700,970700,0
1628381800,1955200,-44800,0
1630440800,2059000,59000,0
1632534400,2093600,93600,0
1634626900,2092500,92500,0
1635478300,851400,-1148600,0
1637864300,2386000,386000,0
